Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4675.783691,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4270.191895,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4300.801270,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4239.580078,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4415.590820,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4415.590820,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4377.329102,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4369.677246,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4461.507813,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4668.129883,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4668.129883,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4560.993164,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4622.212891,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4499.770996,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4362.024902,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4163.054688,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4193.666016,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4224.276367,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4453.855957,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4270.191895,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,4071.222168,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,4017.651855,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3925.820557,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3925.820557,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,4009.999023,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4155.400879,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4377.329102,51050000
